"email","name","publishgroup","incidentpublishgroup"
"DLSMEditOwnProfileFalseTrue@a05a0edc57d94c1baf59a4b4475a820d237test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"DLSMEditOwnProfileFalseTrue@a05a0edc57d94c1baf59a4b4475a820d214test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"DLSMEditOwnProfileFalseTrue@a05a0edc57d94c1baf59a4b4475a820d268test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"DLSMEditOwnProfileFalseTrue@390cf3f170a76c3d90f12b3e7552bca6327test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"DLSMCanPublishYes-CanIncidentPublishNo@test.com","Centre for Environment, Fisheries & Aquaculture Science","CEFAS - Pre-Publication Area","CEFAS - Incident Management"
"dlsmfilteruserlist@27a281ce-8020-48ca-a195-12732800a392180test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"DLSMEditOwnProfileFalseTrue@390cf3f170a76c3d90f12b3e7552bca627test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"DLSMEditOwnProfileFalseTrue@390cf3f170a76c3d90f12b3e7552bca6174test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"DefraBodyStaffToDLSM@ea1e0d3f17d5ce9ecb6c498b2ff3c3df130test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"testuser.dlsmdeactivate@9f6d3243-f1d7-486a-a9d0-bebaadd029e734test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"dlsmdeactivateuser.test@9f6d3243-f1d7-486a-a9d0-bebaadd029e734test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"DLSMEditOwnProfileFalseTrue@6e70c2305b82697991bd2cc29e765ec2302test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"DLSMEditOwnProfileFalseTrue@6e70c2305b82697991bd2cc29e765ec2345test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"DLSMEditOwnProfileFalseTrue@6e70c2305b82697991bd2cc29e765ec210test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"dlsmfilteruserlist@84877b29-ad6b-4e63-a68c-e2a610d8fbfd194test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"dlsmeditusers.test@151e03fd-710a-47b9-a554-87655ce1bfbf293test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"Andy.Harris@landmark.co.uk","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"DefraBodyStaffToDLSM@15653aa33638f46ae6781228154a7089264test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"DLSMCanPublishYes-CanIncidentPublishYes@def-2472.com","Agriculture & Horticulture Development Board","AHDB - Pre-Publication Area","AHDB - Incident Management"
"DLSMCanPublishNo-CanIncidentPublishNo@def-2472.com","Department for Environment, Food & Rural Affairs","DEFRA - Pre-Publication Area","DEFRA - Incident Management"
"DLSMEditOwnProfileFalseTrue@cdddbff096da67f8e8a7d66ca79b7a0174test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"DLSMEditOwnProfileFalseTrue@90aca54e-a685-43f1-8d00-8919ee5bce8c36test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"DLSMEditOwnProfileFalseTrue@90aca54e-a685-43f1-8d00-8919ee5bce8c89test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"DLSMEditOwnProfileFalseTrue@90aca54e-a685-43f1-8d00-8919ee5bce8c277test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"DLSMEditOwnProfileFalseTrue@e648caf8a177f0eac2fc50cace130dfd333test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"DLSMEditOwnProfileFalseTrue@e648caf8a177f0eac2fc50cace130dfd386test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"DLSMCanPublishYes-CanIncidentPublishNo@def-2472.com","Marine Management Organisation","MMO - Pre-Publication Area","MMO - Incident Management"
"DLSMCanPublishNo-CanIncidentPublishYes-2@def-2472.com","Rural Payments Agency","RPA - Pre-Publication Area","RPA - Incident Management"
"DLSMCanPublishNo-CanIncidentPublishNo-2@def-2472.com","Joint Nature Conservation Committee","JNCC - Pre-Publication Area","JNCC - Incident Management"
"DLSMEditOwnProfileFalseTrue@cdddbff096da67f8e8a7d66ca79b7a01161test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"DLSMEditOwnProfileFalseTrue@cdddbff096da67f8e8a7d66ca79b7a01128test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"DefraBodyStaffToDLSM@d7a1702534da9128d01c15c0fe18389a71test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"dlsmeditusers.test@466dff88-9858-48b6-9fb3-1a80463a343e98test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"grouchysmurf.test@466dff88-9858-48b6-9fb3-1a80463a343e98test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"DLSMEditOwnProfileFalseTrue@e648caf8a177f0eac2fc50cace130dfd377test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"DLSMEditOwnProfileFalseTrue@a38e288f-a59d-4650-ab18-c76d0de9a396261test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"DLSMEditOwnProfileFalseTrue@a38e288f-a59d-4650-ab18-c76d0de9a396234test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
"DLSMEditOwnProfileFalseTrue@a38e288f-a59d-4650-ab18-c76d0de9a396374test.com","Environment Agency","EA - Pre-Publication Area","EA - Incident Management"
